price_per_year,price_segment,car_price_in_rupees
44500.0,Low,445000.0
41857.142857142855,Very Low,293000.0
69500.0,Medium,695000.0
171428.57142857142,Very High,1200000.0
41333.333333333336,Very Low,372000.0
127777.77777777778,Very High,1150000.0
148428.57142857142,Very High,1039000.0
28846.153846153848,Very Low,375000.0
53125.0,Very Low,425000.0
75000.0,Medium,675000.0
64142.857142857145,Low,449000.0
135714.2857142857,High,950000.0
165625.0,Very High,1325000.0
92500.0,High,925000.0
75000.0,Medium,675000.0
108875.00000000001,High,871000.0000000001
27916.666666666668,Very Low,335000.0
98800.00000000001,High,988000.0000000001
157142.85714285713,Very High,1100000.0
165000.0,High,990000.0
49285.71428571428,Very Low,345000.0
71000.0,Medium,639000.0
222500.0,High,890000.0
82375.0,Medium,659000.0
49000.0,Very Low,392000.0
100000.0,High,800000.0
110714.28571428571,High,775000.0
230400.0,Very High,1152000.0
139583.33333333334,Very High,1675000.0
121428.57142857143,High,850000.0
118600.0,Medium,593000.0
83000.00000000001,Very Low,415000.00000000006
308333.3333333333,Very High,1850000.0
18461.53846153846,Very Low,240000.0
109000.0,Very High,1199000.0
89499.99999999999,High,894999.9999999999
193600.0,High,968000.0
44818.181818181816,Low,493000.0
80769.23076923077,Very High,1050000.0
98125.0,High,785000.0
40416.666666666664,Low,484999.99999999994
48333.33333333333,Low,434999.99999999994
50111.11111111111,Low,451000.0
68125.0,Low,545000.0
50000.0,Low,450000.0
136200.0,Medium,681000.0
32916.666666666664,Very Low,395000.0
163285.7142857143,Very High,1143000.0
175000.0,Very High,1050000.0
159375.0,Very High,1275000.0
66555.55555555556,Medium,599000.0
231428.57142857142,Very High,1620000.0
70000.0,Very Low,420000.0
43181.818181818184,Low,475000.0
49000.0,Low,441000.0
41399.99999999999,Very Low,413999.99999999994
16764.70588235294,Very Low,285000.0
135000.0,Medium,675000.0
88750.0,Medium,710000.0
29090.909090909092,Very Low,320000.0
89857.14285714286,Medium,629000.0
65100.0,Medium,651000.0
52777.77777777778,Low,475000.0
19266.666666666668,Very Low,289000.0
128142.85714285716,High,897000.0000000001
21230.76923076923,Very Low,276000.0
86250.0,Medium,690000.0
149142.85714285713,Very High,1044000.0
73500.0,High,735000.0
39000.0,Very Low,390000.0
86538.46153846153,Very High,1125000.0
97899.99999999999,High,978999.9999999999
45363.63636363636,Low,499000.0
237000.0,Very High,1659000.0
60555.555555555555,Low,545000.0
95200.0,Low,476000.0
82111.11111111111,High,739000.0
155000.0,Very High,1395000.0
104666.66666666667,Medium,628000.0
40900.0,Very Low,409000.0
53636.36363636364,Medium,590000.0
132500.0,High,795000.0
85000.0,Very High,1190000.0
31785.714285714286,Low,445000.0
29900.0,Very Low,299000.0
30076.923076923078,Very Low,391000.0
111250.0,High,890000.0
99833.33333333333,Medium,599000.0
72500.0,Medium,580000.0
385000.0,Very High,1925000.0
102777.77777777778,High,925000.0
26153.846153846152,Very Low,340000.0
37307.692307692305,Low,484999.99999999994
79125.0,Medium,633000.0
44000.0,Very Low,396000.0
110714.28571428571,High,775000.0
40916.666666666664,Low,491000.0
47222.22222222222,Very Low,425000.0
56923.07692307692,High,740000.0
