car_price_in_rupees,kms_driven,fuel_type,city,company,model,age,price_per_km,price_per_year,km_per_year
445000.0,22402,Petrol,Mumbai,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],9,19.86341115029237,44500.0,2240.2
293000.0,10344,Petrol,Kolkata,Maruti Suzuki,Alto 800 Lxi,6,28.32286128564524,41857.142857142855,1477.7142857142858
695000.0,45000,Petrol,Thane,Maruti Suzuki,Ciaz ZXI+,9,15.444101242194618,69500.0,4500.0
1200000.0,11193,Petrol,Kolkata,Jeep,Compass Sport Plus 1.4 Petrol [2019-2020],6,107.20028586742897,171428.57142857142,1599.0
372000.0,42906,Petrol,Chennai,Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],8,8.669914000046612,41333.333333333336,4767.333333333333
1150000.0,66602,Diesel,Mumbai,Hyundai,Creta SX Plus 1.6 AT CRDI,8,17.266489497470083,127777.77777777778,7400.222222222223
1039000.0,13189,Petrol,Bangalore,Maruti Suzuki,Ertiga VXi AT,6,78.77179681576952,148428.57142857142,1884.142857142857
375000.0,67815,Petrol,Mumbai,Toyota,Etios Liva G,12,5.529668514804766,28846.153846153848,5216.538461538462
425000.0,19509,Petrol,Mumbai,Renault,Kwid 1.0 RXT AMT Opt [2016-2019],7,21.78370066632496,53125.0,2438.625
675000.0,60000,Diesel,Ahmedabad,Maruti Suzuki,Ciaz VDi+ SHVS,8,11.249812503124948,75000.0,6666.666666666667
449000.0,3583,Petrol,Bangalore,Maruti Suzuki,Alto 800 LXi (O),6,125.27901785714286,64142.857142857145,511.85714285714283
950000.0,48748,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza VDi,6,19.48757923239451,135714.2857142857,6964.0
1325000.0,38000,Diesel,Thane,Jeep,Compass Longitude 2.0 Diesel [2017-2020],7,34.86750348675035,165625.0,4750.0
925000.0,36000,Petrol,Kolkata,Toyota,Corolla Altis VL AT Petrol,9,25.693730729701954,92500.0,3600.0
675000.0,13747,Petrol,Ahmedabad,Hyundai,Elite i20 Magna Executive 1.2,8,49.09805062554553,75000.0,1527.4444444444443
871000.0000000001,12795,Petrol,Chennai,Ford,EcoSport Titanium 1.5L Ti-VCT,7,68.06814629571743,108875.00000000001,1599.375
335000.0,41273,Petrol,Mumbai,Hyundai,i10 Magna 1.2 Kappa2,11,8.116489799874012,27916.666666666668,3439.4166666666665
988000.0000000001,20142,Petrol,Pune,Hyundai,Creta 1.6 SX Plus Petrol Special Edition,9,49.049297522712614,98800.00000000001,2014.2
1100000.0,47103,Diesel,Thane,Kia,Seltos HTE 1.5 Diesel,6,23.35258152173913,157142.85714285713,6729.0
990000.0,7755,Petrol,Mumbai,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],5,127.64311500773594,165000.0,1292.5
345000.0,33513,Petrol,Gurgaon,Renault,Kwid 1.0 RXL [2017-2019],6,10.29420540669571,49285.71428571428,4787.571428571428
639000.0,34559,Petrol,Delhi,Maruti Suzuki,Baleno Alpha 1.2,8,18.489583333333332,71000.0,3839.8888888888887
890000.0,4000,Petrol,Ahmedabad,Hyundai,i20 Sportz 1.2 IVT,3,222.4443889027743,222500.0,1000.0
659000.0,54544,Petrol,Kolkata,Ford,EcoSport Titanium 1.5L Ti-VCT,7,12.081767348061234,82375.0,6818.0
392000.0,42247,Petrol,Kolkata,Maruti Suzuki,Wagon R 1.0 VXI,7,9.278545729975383,49000.0,5280.875
800000.0,100000,Diesel,Hyderabad,Honda,Jazz VX Diesel,7,7.999920000799992,100000.0,12500.0
775000.0,69000,Diesel,Hyderabad,Maruti Suzuki,Swift VDi,6,11.231721279401748,110714.28571428571,9857.142857142857
1152000.0,10422,Petrol,Delhi,Tata,Nexon XZ Plus,4,110.52480092104001,230400.0,2084.4
1675000.0,52000,Diesel,Mumbai,Audi,Q3 35 TDI Premium + Sunroof,11,32.21091902078806,139583.33333333334,4333.333333333333
850000.0,56255,Petrol,Ahmedabad,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],6,15.109499431171786,121428.57142857143,8036.428571428572
593000.0,78260,CNG,Delhi,Hyundai,Santro Sportz CNG [2018-2020],4,7.577209593539567,118600.0,15652.0
415000.00000000006,19970,CNG,Bangalore,Maruti Suzuki,Alto 800 LXi (O) CNG,4,20.78013119022583,83000.00000000001,3994.0
1850000.0,9070,Petrol,Ahmedabad,MG,Hector Plus Sharp 1.5 DCT Petrol,5,203.9466431484952,308333.3333333333,1511.6666666666667
240000.0,73000,Petrol,Thane,Ford,Figo Duratec Petrol ZXI 1.2,12,3.2876261969014124,18461.53846153846,5615.384615384615
1199000.0,46336,Diesel,Kolkata,Audi,Q3 2.0 TDI Base Grade,10,25.875650128407106,109000.0,4212.363636363636
894999.9999999999,57220,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,9,15.64111078100697,89499.99999999999,5722.0
968000.0,7096,Petrol,Pune,Honda,Jazz ZX,4,136.39566013808653,193600.0,1419.2
493000.0,44045,Petrol,Pune,Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],10,11.192843845071062,44818.181818181816,4004.090909090909
1050000.0,70000,Diesel,Kolkata,BMW,X1 sDrive20d,12,14.999785717346896,80769.23076923077,5384.615384615385
785000.0,32853,Diesel,Thane,Maruti Suzuki,Swift ZDi Plus,7,23.893589821635114,98125.0,4106.625
484999.99999999994,62000,Petrol,Thane,Maruti Suzuki,Swift DZire VXI,11,7.8224544765407,40416.666666666664,5166.666666666667
434999.99999999994,73500,CNG,Thane,Maruti Suzuki,Wagon R 1.0 LXI CNG,8,5.918286826029577,48333.33333333333,8166.666666666667
451000.0,74076,CNG,Pune,Maruti Suzuki,Wagon R 1.0 LXI CNG,8,6.088259513749207,50111.11111111111,8230.666666666666
545000.0,56355,Petrol,Mumbai,Tata,Tiago Revotron XZA,7,9.670665057846547,68125.0,7044.375
450000.0,37000,Petrol,Thane,Tata,Tiago Revotron XT [2016-2019],8,12.161833463960434,50000.0,4111.111111111111
681000.0,22158,CNG,Pune,Maruti Suzuki,Wagon R LXi 1.0 CNG,4,30.73243377408728,136200.0,4431.6
395000.0,62568,Petrol,Noida,Hyundai,Xcent S 1.2,11,6.313030414422477,32916.666666666664,5214.0
1143000.0,19970,Petrol,Pune,Kia,Seltos HTK 1.5 [2020-2021],6,57.23298783235692,163285.7142857143,2852.8571428571427
1050000.0,37991,Petrol,Thane,Kia,Seltos HTE 1.5,5,27.637397346809855,175000.0,6331.833333333333
1275000.0,58676,Petrol,Mumbai,Hyundai,Creta 1.6 SX Plus AT Petrol,7,21.729127255994683,159375.0,7334.5
599000.0,35104,Petrol,Bangalore,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],8,17.06309642501068,66555.55555555556,3900.4444444444443
1620000.0,51605,Petrol,Pune,Kia,Seltos GTX 1.4 Dual Tone,6,31.391698639693058,231428.57142857142,7372.142857142857
420000.0,17472,Petrol,Delhi,Maruti Suzuki,S-Presso VXi,5,24.037085789503806,70000.0,2912.0
475000.0,80000,Diesel,Delhi,Hyundai,Elite i20 Sportz 1.4,10,5.937425782177723,43181.818181818184,7272.727272727273
441000.0,66882,CNG,Pune,Maruti Suzuki,Wagon R 1.0 LXI CNG,8,6.593603755812389,49000.0,7431.333333333333
413999.99999999994,74938,Petrol,Delhi,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],9,5.52449325451367,41399.99999999999,7493.8
285000.0,82000,Petrol,Noida,Honda,City 1.5 S MT,16,3.47556737112962,16764.70588235294,4823.529411764706
675000.0,57685,CNG,Pune,Maruti Suzuki,Wagon R LXi 1.0 CNG,4,11.701279339874493,135000.0,11537.0
710000.0,48000,Petrol,Hyderabad,Hyundai,Elite i20 Sportz 1.2,7,14.791358513364305,88750.0,6000.0
320000.0,33146,Petrol,Ahmedabad,Hyundai,Eon Magna [2011-2012],10,9.653965668084593,29090.909090909092,3013.2727272727275
629000.0,26603,Petrol,Delhi,Maruti Suzuki,Baleno Delta 1.2,6,23.643061193805444,89857.14285714286,3800.4285714285716
651000.0,53094,Petrol,Mumbai,Volkswagen,Vento Comfortline 1.2 (P) AT,9,12.261041529334213,65100.0,5309.4
475000.0,4098,Petrol,Mumbai,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],8,115.88192242010247,52777.77777777778,455.3333333333333
289000.0,75379,Petrol,Pune,Maruti Suzuki,Wagon R 1.0 VXi,14,3.8339081984611303,19266.666666666668,5025.266666666666
897000.0000000001,15763,Petrol,Kolkata,Hyundai,Venue S 1.0 Petrol [2019-2020],6,56.90180157320478,128142.85714285716,2251.8571428571427
276000.0,42697,Petrol,Kolkata,Maruti Suzuki,Wagon R 1.0 VXi,12,6.464002997798492,21230.76923076923,3284.3846153846152
690000.0,45000,Petrol,Ahmedabad,Hyundai,Elite i20 Magna Executive 1.2,7,15.332992600164442,86250.0,5625.0
1044000.0,55174,Diesel,Pune,Maruti Suzuki,Vitara Brezza ZDi Plus,6,18.92161304938831,149142.85714285713,7882.0
735000.0,82953,Petrol,Chennai,Honda,City VX CVT,9,8.860332232321527,73500.0,8295.3
390000.0,85138,Petrol,Pune,Maruti Suzuki,Wagon R 1.0 VXI AMT,9,4.580744429697319,39000.0,8513.8
1125000.0,52000,Diesel,Kolkata,Audi,A6 2.0 TDI Premium,12,21.63419934232034,86538.46153846153,4000.0
978999.9999999999,27623,Petrol,Bangalore,Hyundai,Creta SX Plus 1.6 Petrol,9,35.440196930205616,97899.99999999999,2762.3
499000.0,73333,Petrol,Bangalore,Hyundai,Xcent SX 1.2 (O),10,6.804483595603676,45363.63636363636,6666.636363636364
1659000.0,45999,Diesel,Bangalore,MG,Hector Sharp 2.0 Diesel [2019-2020],6,36.06521739130435,237000.0,6571.285714285715
545000.0,61518,Petrol,Noida,Maruti Suzuki,Baleno Sigma 1.2,8,8.859051675092248,60555.555555555555,6835.333333333333
476000.0,65,Petrol,Delhi,Maruti Suzuki,S-Presso VXi Plus,4,7212.121212121212,95200.0,13.0
739000.0,42400,Diesel,Bangalore,Maruti Suzuki,Baleno Zeta 1.3,8,17.428834225607886,82111.11111111111,4711.111111111111
1395000.0,45221,Petrol,Mumbai,Jeep,Compass Limited 1.4 Petrol AT [2017-2020],8,30.847817433992304,155000.0,5024.555555555556
628000.0,11290,Petrol,Pune,Maruti Suzuki,Ignis Zeta 1.2 MT,5,55.619519971658846,104666.66666666667,1881.6666666666667
409000.0,68446,Petrol,Delhi,Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,9,5.975426242201996,40900.0,6844.6
590000.0,51850,Petrol,Mumbai,Honda,City V,10,11.378758365316001,53636.36363636364,4713.636363636364
795000.0,10000,Petrol,Mumbai,Toyota,Glanza G CVT,5,79.4920507949205,132500.0,1666.6666666666667
1190000.0,69500,Diesel,Ahmedabad,Audi,Q3 2.0 TDI quattro Premium,13,17.122055797758307,85000.0,4964.285714285715
