car_price,kilometers_driven,fuel_type,city,Company,Model,Age
99991.0,29012.0,Petrol,Kolkata,Maruti Suzuki,Estilo LXi,17
9500000.0,3200.0,Alternative Fuel,Pune,Mercedes-Benz,EQC 400 4MATIC,3
9300000.0,6500.0,Petrol,Pune,Audi,Q7 Technology 55 TFSI,3
999000.0,21691.0,Petrol,Bangalore,Honda,City V,6
999000.0,58019.0,Petrol,Bangalore,Honda,City VX CVT Petrol,8
999000.0,41591.0,Diesel,Bangalore,Renault,Duster 110 PS RxZ AWD,8
998000.0,97761.0,Diesel,Pune,Hyundai,Creta 1.6 S Plus AT,9
998000.0,4371.0,Petrol,Kolkata,Renault,Kiger RXT Turbo CVT Dual Tone,3
996000.0000000001,71420.0,Petrol,Chennai,Honda,City V CVT Petrol [2017-2019],7
994999.9999999999,20440.0,Petrol,Hyderabad,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],6
994999.9999999999,8566.0,Petrol,Thane,Hyundai,i20 Asta 1.0 Turbo IMT,4
992000.0,8000.0,Petrol,Delhi,Hyundai,Verna 1.6 VTVT SX,6
991000.0,9300.0,Petrol,Ahmedabad,Honda,City V,3
990000.0,41079.0,Petrol,Pune,Toyota,Yaris V CVT,6
990000.0,7755.0,Petrol,Mumbai,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],5
990000.0,42700.0,Petrol,Ahmedabad,Honda,City V,6
990000.0,38598.0,Petrol,Thane,Maruti Suzuki,XL6 Alpha MT Petrol,5
988000.0000000001,20142.0,Petrol,Pune,Hyundai,Creta 1.6 SX Plus Petrol Special Edition,9
985000.0,8134.0,Petrol,Thane,Toyota,Urban Cruiser Premium Grade MT,4
985000.0,15928.0,Petrol,Bangalore,Toyota,Glanza V CVT,4
985000.0,93500.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza ZDi Plus AGS,7
983000.0,40655.0,Diesel,Delhi,Hyundai,Venue SX 1.4 CRDi,6
983000.0,40655.0,Diesel,Delhi,Hyundai,Venue SX 1.4 CRDi,6
980000.0000000001,41443.0,Diesel,Hyderabad,Skoda,Rapid Ambition 1.6 TDI CR MT,6
980000.0000000001,44000.0,Petrol,Hyderabad,Toyota,Yaris V MT,7
978999.9999999999,39030.0,Diesel,Bangalore,Renault,Duster 85 PS RXS 4X2 MT Diesel,7
978999.9999999999,27623.0,Petrol,Bangalore,Hyundai,Creta SX Plus 1.6 Petrol,9
977999.9999999999,10412.0,Diesel,Chennai,Tata,Altroz XZ (O) Diesel,4
975000.0,43398.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,8
975000.0,37000.0,Diesel,Kolkata,Mahindra,XUV500 W10,9
975000.0,14746.0,Petrol,Ahmedabad,Hyundai,i20 Asta 1.0 Turbo DCT,4
975000.0,3200.0,Petrol,Chennai,Tata,Nexon XZ,4
975000.0,87820.0,Diesel,Mumbai,Mahindra,XUV500 W8 [2015-2017],9
975000.0,83000.0,Diesel,Ahmedabad,Toyota,Innova 2.5 G BS III 7 STR,10
974000.0,10158.0,Petrol,Pune,Maruti Suzuki,Dzire ZXi Plus,3
969999.9999999999,48976.0,Diesel,Pune,Hyundai,Creta E Plus 1.4 CRDI,8
969999.9999999999,117295.0,Diesel,Hyderabad,Hyundai,Creta 1.6 SX (O),10
968000.0,7096.0,Petrol,Pune,Honda,Jazz ZX,4
965000.0,5564.0,Petrol,Mumbai,Hyundai,Verna 1.6 VTVT SX,6
964000.0,24432.0,Petrol,Kolkata,Hyundai,Venue SX (O) 1.0 Turbo iMT,4
964000.0,67981.0,Petrol,Pune,Hyundai,Creta 1.6 SX Plus AT Petrol,9
960000.0,13626.0,Petrol,Thane,Hyundai,i20 Asta (O) 1.2 MT,4
960000.0,37845.0,Diesel,Thane,Tata,Nexon XZ Plus Diesel,6
959000.0,54698.0,Petrol,Delhi,Skoda,Rapid Ambition 1.6 MPI AT,5
955000.0000000001,17844.0,Petrol,Kolkata,Hyundai,Venue S 1.0 Petrol [2019-2020],6
953999.9999999999,59568.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],6
951000.0,20703.0,Petrol,Ahmedabad,Maruti Suzuki,XL6 Zeta MT Petrol,5
950000.0,52547.0,Petrol,Ahmedabad,Ford,EcoSport Titanium + 1.5L Ti-VCT AT [2019-2020],6
950000.0,87544.0,Diesel,Hyderabad,Maruti Suzuki,S-Cross Zeta 1.3,7
950000.0,117859.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza ZDi Plus,8
950000.0,74000.0,Diesel,Ahmedabad,Mahindra,XUV500 W6 AT,8
950000.0,58063.0,Diesel,Kolkata,Kia,Sonet HTX 1.5 [2020-2021],4
950000.0,75000.0,Diesel,Kolkata,Land Rover,Freelander 2 HSE SD4,13
950000.0,99941.0,Diesel,Ahmedabad,Mercedes-Benz,C-Class 250 CDI Avantagarde,13
950000.0,11000.0,Diesel,Ahmedabad,Hyundai,i20 Sportz 1.5 MT Diesel,3
950000.0,91000.0,Diesel,Ahmedabad,Mahindra,XUV500 W6 AT,9
950000.0,48748.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza VDi,6
950000.0,99941.0,Diesel,Ahmedabad,Mercedes-Benz,C-Class 250 CDI Avantagarde,13
950000.0,77116.0,Petrol,Hyderabad,Honda,City VX CVT,10
950000.0,28016.0,Diesel,Hyderabad,Maruti Suzuki,S-Cross Zeta 1.3,7
949000.0,41098.0,Petrol,Bangalore,Maruti Suzuki,Vitara Brezza VXi,5
949000.0,16700.0,Petrol,Ahmedabad,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],5
944999.9999999999,43624.0,Petrol,Mumbai,Ford,EcoSport Titanium 1.5 Ti-VCT AT,6
944999.9999999999,43000.0,Petrol,Mumbai,Skoda,Octavia Elegance 1.8 TSI AT,10
944999.9999999999,29147.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],6
944999.9999999999,43624.0,Petrol,Mumbai,Ford,EcoSport Titanium 1.5 Ti-VCT AT,6
944999.9999999999,41417.0,Petrol,Bangalore,Volkswagen,Polo GT TSI,8
942000.0,7773.0,Petrol,Pune,Maruti Suzuki,Baleno Zeta 1.2,4
942000.0,38258.0,Petrol,Delhi,Honda,BR-V S Petrol,7
941000.0,20678.0,Diesel,Thane,Tata,Nexon XMA Diesel,6
941000.0,20678.0,Diesel,Thane,Tata,Nexon XMA Diesel,6
939000.0,40544.0,Petrol,Bangalore,Hyundai,Creta E Plus 1.6 Petrol,9
936000.0,43162.0,Petrol,Hyderabad,Maruti Suzuki,Ertiga VXI,4
935000.0,31482.0,Petrol,Thane,Honda,City V CVT Petrol [2017-2019],7
931000.0,85520.0,Diesel,Pune,Hyundai,Elantra 1.6 SX AT,10
930000.0000000001,12000.0,Petrol,Thane,Hyundai,Creta E Plus 1.6 Petrol,7
928999.9999999999,27499.0,Petrol,Chennai,Tata,Nexon XM,5
928999.9999999999,36624.0,Diesel,Bangalore,Mahindra,Scorpio S2,10
925000.0,87803.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza ZDi,7
925000.0,62690.0,Petrol,Bangalore,Volkswagen,Polo GT TSI,7
925000.0,43239.0,Petrol,Mumbai,Honda,City ZX CVT Petrol [2017-2019],8
925000.0,43000.0,Diesel,Ahmedabad,Hyundai,Venue SX 1.5 CRDi,5
925000.0,52000.0,Petrol,Hyderabad,Volkswagen,Polo GT TSI,6
925000.0,39240.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,8
925000.0,39240.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,8
925000.0,36000.0,Petrol,Kolkata,Toyota,Corolla Altis VL AT Petrol,9
925000.0,95004.0,Diesel,Hyderabad,Skoda,Rapid Ambition 1.6 TDI CR MT,7
925000.0,87139.0,Diesel,Hyderabad,Honda,City V Diesel,8
925000.0,62690.0,Petrol,Bangalore,Volkswagen,Polo GT TSI,7
925000.0,51000.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,8
923000.0,30830.0,Petrol,Pune,Maruti Suzuki,Ciaz Alpha 1.4 MT,7
922000.0000000001,5768.0,Petrol,Pune,Honda,Amaze VX CVT 1.2 Petrol,5
914000.0,11729.0,Petrol,Kolkata,Maruti Suzuki,S-Cross Zeta AT,5
913000.0000000001,50043.0,Petrol,Pune,Tata,Nexon XZ Plus Dual Tone,7
913000.0000000001,50043.0,Petrol,Pune,Tata,Nexon XZ Plus Dual Tone,7
911000.0,53946.0,Petrol,Mumbai,Hyundai,Creta SX Plus 1.6 Petrol,9
911000.0,45000.0,Petrol,Mumbai,Hyundai,Creta SX Plus 1.6 Petrol,9
910000.0,25921.0,Petrol,Delhi,Hyundai,Verna 1.6 VTVT SX,7
910000.0,76000.0,Diesel,Hyderabad,Maruti Suzuki,Ciaz Delta 1.5 Diesel,6
910000.0,12420.0,Petrol,Pune,Hyundai,i20 Asta (O) 1.2 MT,4
901000.0,15386.0,Petrol,Kolkata,Ford,EcoSport Titanium 1.5L Ti-VCT Black Edition AT,5
900000.0,31573.0,Petrol,Hyderabad,Maruti Suzuki,Ciaz Zeta 1.4 AT,7
900000.0,40000.0,Diesel,Kolkata,BMW,3 Series 320d Highline Sedan,14
8600000.0,34000.0,Diesel,Pune,Mercedes-Benz,GLE 300d 4MATIC LWB,5
8100000.0,21500.0,Alternative Fuel,Bangalore,Mercedes-Benz,EQC 400 4MATIC,5
899000.0,36600.0,Diesel,Bangalore,Ford,EcoSport Titanium 1.5L TDCi,8
899000.0,57702.0,Petrol,Bangalore,Skoda,Rapid Ambition 1.6 MPI AT,7
899000.0,36700.0,Petrol,Bangalore,Renault,Duster RXS CVT,6
899000.0,55300.0,Diesel,Bangalore,Renault,Duster 85 PS RXS 4X2 MT Diesel,7
899000.0,41441.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,9
899000.0,57702.0,Petrol,Bangalore,Skoda,Rapid Ambition 1.6 MPI AT,7
897000.0000000001,15763.0,Petrol,Kolkata,Hyundai,Venue S 1.0 Petrol [2019-2020],6
894999.9999999999,53416.0,Diesel,Bangalore,Maruti Suzuki,S-Cross Delta 1.3,7
894999.9999999999,62732.0,Diesel,Thane,Renault,Duster 110 PS RXZ 4X2 AMT Diesel,7
894999.9999999999,80500.0,Diesel,Delhi,Mahindra,Scorpio S6 Plus 1.99 Intelli-Hybrid,8
894999.9999999999,39389.0,Petrol,Bangalore,Hyundai,Elite i20 Asta 1.2 AT,7
894999.9999999999,14667.0,Petrol,Kolkata,Hyundai,Venue S 1.0 Petrol [2019-2020],6
894999.9999999999,21367.0,Petrol,Bangalore,Maruti Suzuki,Baleno Alpha Automatic,7
894999.9999999999,57220.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,9
891000.0,20143.0,Petrol,Bangalore,Honda,City V,7
890000.0,6000.0,Petrol,Thane,Honda,WR-V VX MT Petrol,6
890000.0,113600.0,Diesel,Thane,Maruti Suzuki,Vitara Brezza ZDi Plus AGS,7
890000.0,56040.0,Diesel,Mumbai,Hyundai,Verna SX Plus 1.6 CRDi AT,8
890000.0,4000.0,Petrol,Ahmedabad,Hyundai,i20 Sportz 1.2 IVT,3
889000.0,15608.0,Petrol,Bangalore,Hyundai,i20 Sportz 1.2 (O),5
886999.9999999999,54571.0,Diesel,Pune,Maruti Suzuki,S-Cross Zeta 1.3,8
885000.0,38500.0,Petrol,Ahmedabad,Maruti Suzuki,Ciaz Alpha 1.4 AT,5
885000.0,125000.0,Petrol,Delhi,Toyota,Corolla Altis G Petrol,7
885000.0,51439.0,Diesel,Mumbai,Maruti Suzuki,Vitara Brezza ZDi Plus,8
885000.0,34178.0,Diesel,Kolkata,Honda,City VX Diesel,7
885000.0,43417.0,Petrol,Mumbai,Honda,City V CVT Petrol [2017-2019],8
883000.0,63000.0,Petrol,Delhi,Toyota,Corolla Altis 1.8 G AT,11
880000.0000000001,48488.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,9
880000.0000000001,56415.0,Diesel,Hyderabad,Hyundai,Elite i20 Asta 1.4 (O) CRDi,6
880000.0000000001,40904.0,Petrol,Hyderabad,Maruti Suzuki,Dzire ZXi Plus AMT,5
878999.9999999999,91495.0,Diesel,Pune,Hyundai,Verna EX 1.6 CRDi [2017-2018],8
878999.9999999999,14437.0,Petrol,Delhi,Honda,City V,7
878999.9999999999,81682.0,Diesel,Bangalore,Mahindra,XUV500 W8,12
876000.0,29150.0,Petrol,Pune,Hyundai,Verna 1.6 VTVT SX,8
875000.0,29873.0,Petrol,Thane,Tata,Nexon XZA Plus Petrol,7
875000.0,21000.0,Petrol,Ahmedabad,Honda,City SV,6
875000.0,36422.0,Diesel,Mumbai,Maruti Suzuki,Vitara Brezza VDi,6
875000.0,56000.0,Petrol,Ahmedabad,Honda,City SV CVT,8
875000.0,58000.0,Diesel,Thane,Maruti Suzuki,S-Cross Alpha 1.3,7
875000.0,11800.0,Petrol,Chennai,Maruti Suzuki,Dzire ZXi Plus AMT,5
875000.0,43999.0,Petrol,Bangalore,Maruti Suzuki,Ciaz Zeta 1.4 MT,7
875000.0,31469.0,Petrol,Mumbai,Skoda,Rapid Style 1.6 MPI AT,7
875000.0,43000.0,Petrol,Hyderabad,Maruti Suzuki,Baleno Alpha 1.2,6
875000.0,24259.0,Petrol,Kolkata,Honda,City VX,6
875000.0,82000.0,Diesel,Ahmedabad,Maruti Suzuki,Vitara Brezza ZDi Plus,7
